OPERATION TEST,,,,,,,
TEST: 12,,,,,,,
TestNumber, InputArrayLength, Algo1Distance, Algo2Distance, Algo1NumOps, Algo2NumOps,,
162,4509,0,0,1064376504,532188252,,
163,4509,0,0,1084703076,542351538,,
164,4509,0,0,1105029648,552514824,,
165,4509,0,0,1125356220,562678110,,
166,4509,0,0,1145682792,572841396,,
167,4509,0,0,1166009364,583004682,,
168,4509,0,0,1186335936,593167968,,
169,4509,0,0,1206662508,603331254,,
170,4509,0,0,1226989080,613494540,,
171,4509,0,0,1247315652,623657826,,
172,4509,0,0,1267642224,633821112,,
173,4509,0,0,1287968796,643984398,,
174,4509,0,0,1308295368,654147684,,
175,4509,0,0,1328621940,664310970,,
176,4509,0,0,1348948512,674474256,,
177,4509,0,0,1369275084,684637542,,
178,4509,0,0,1389601656,694800828,,
179,4509,0,0,1409928228,704964114,1216825794,608412897
180,5010,0,0,1430254800,715127400,,
181,5010,0,0,1455349890,727674945,,
182,5010,0,0,1480444980,740222490,,
183,5010,0,0,1505540070,752770035,,
184,5010,0,0,1530635160,765317580,,
185,5010,0,0,1555730250,777865125,,
186,5010,0,0,1580825340,790412670,,
187,5010,0,0,1605920430,802960215,,
188,5010,0,0,1631015520,815507760,,
189,5010,0,0,1656110610,828055305,,
190,5010,0,0,1681205700,840602850,,
191,5010,0,0,1706300790,853150395,,
192,5010,0,0,1731395880,865697940,,
193,5010,0,0,1756490970,878245485,,
194,5010,0,0,1781586060,890793030,,
195,5010,0,0,1806681150,903340575,,
196,5010,0,0,1831776240,915888120,,
197,5010,0,0,1856871330,928435665,,
198,5010,0,0,1881966420,940983210,,
199,5010,0,0,1907061510,953530755,1668658155,834329077.5
TEST: 13,,,,,,,
TestNumber, InputArrayLength, Algo1Distance, Algo2Distance, Algo1NumOps, Algo2NumOps,,
0,501,1,1,0,0,,
1,501,1,1,250500,125250,,
2,501,1,1,501000,250500,,
3,501,1,1,751500,375750,,
4,501,1,1,1002000,501000,,
5,501,1,1,1252500,626250,,
6,501,1,1,1503000,751500,,
7,501,1,1,1753500,876750,,
8,501,1,1,2004000,1002000,,
9,501,1,1,2254500,1127250,,
10,501,1,1,2505000,1252500,,
11,501,1,1,2755500,1377750,,
12,501,1,1,3006000,1503000,,
13,501,1,1,3256500,1628250,,
14,501,1,1,3507000,1753500,,
15,501,1,1,3757500,1878750,,
16,501,1,1,4008000,2004000,,
17,501,1,1,4258500,2129250,2129250,1064625
18,501,1,1,4509000,2254500,,
19,501,1,1,4759500,2379750,,
20,1002,1,1,5010000,2505000,,
21,1002,1,1,6013002,3006501,,
22,1002,1,1,7016004,3508002,,
23,1002,1,1,8019006,4009503,,
24,1002,1,1,9022008,4511004,,
25,1002,1,1,10025010,5012505,,
26,1002,1,1,11028012,5514006,,
27,1002,1,1,12031014,6015507,,
28,1002,1,1,13034016,6517008,,
29,1002,1,1,14037018,7018509,,
30,1002,1,1,15040020,7520010,,
31,1002,1,1,16043022,8021511,,
32,1002,1,1,17046024,8523012,,
33,1002,1,1,18049026,9024513,,
34,1002,1,1,19052028,9526014,,
35,1002,1,1,20055030,10027515,,
36,1002,1,1,21058032,10529016,,
37,1002,1,1,22061034,11030517,12645390.3,6322695.15
38,1002,1,1,23064036,11532018,,
39,1002,1,1,24067038,12033519,,
40,1503,1,1,25070040,12535020,,
41,1503,1,1,27327546,13663773,,
42,1503,1,1,29585052,14792526,,
43,1503,1,1,31842558,15921279,,
44,1503,1,1,34100064,17050032,,
45,1503,1,1,36357570,18178785,,
46,1503,1,1,38615076,19307538,,
47,1503,1,1,40872582,20436291,,
48,1503,1,1,43130088,21565044,,
49,1503,1,1,45387594,22693797,,
50,1503,1,1,47645100,23822550,,
51,1503,1,1,49902606,24951303,,
52,1503,1,1,52160112,26080056,,
53,1503,1,1,54417618,27208809,,
54,1503,1,1,56675124,28337562,,
55,1503,1,1,58932630,29466315,,
56,1503,1,1,61190136,30595068,,
57,1503,1,1,63447642,31723821,42189510.6,21094755.3
58,1503,1,1,65705148,32852574,,
59,1503,1,1,67962654,33981327,,
60,2004,1,1,70220160,35110080,,
61,2004,1,1,74234172,37117086,,
62,2004,1,1,78248184,39124092,,
63,2004,1,1,82262196,41131098,,
64,2004,1,1,86276208,43138104,,
65,2004,1,1,90290220,45145110,,
66,2004,1,1,94304232,47152116,,
67,2004,1,1,98318244,49159122,,
68,2004,1,1,102332256,51166128,,
69,2004,1,1,106346268,53173134,,
70,2004,1,1,110360280,55180140,,
71,2004,1,1,114374292,57187146,,
72,2004,1,1,118388304,59194152,,
73,2004,1,1,122402316,61201158,,
74,2004,1,1,126416328,63208164,,
75,2004,1,1,130430340,65215170,,
76,2004,1,1,134444352,67222176,,
77,2004,1,1,138458364,69229182,100588725.9,50294362.95
78,2004,1,1,142472376,71236188,,
79,2004,1,1,146486388,73243194,,
80,2505,1,1,150500400,75250200,,
81,2505,1,1,156772920,78386460,,
82,2505,1,1,163045440,81522720,,
83,2505,1,1,169317960,84658980,,
84,2505,1,1,175590480,87795240,,
85,2505,1,1,181863000,90931500,,
86,2505,1,1,188135520,94067760,,
87,2505,1,1,194408040,97204020,,
88,2505,1,1,200680560,100340280,,
89,2505,1,1,206953080,103476540,,
90,2505,1,1,213225600,106612800,,
91,2505,1,1,219498120,109749060,,
92,2505,1,1,225770640,112885320,,
93,2505,1,1,232043160,116021580,,
94,2505,1,1,238315680,119157840,,
95,2505,1,1,244588200,122294100,,
96,2505,1,1,250860720,125430360,,
97,2505,1,1,257133240,128566620,197883076.2,98941538.1
98,2505,1,1,263405760,131702880,,
99,2505,1,1,269678280,134839140,,
100,3006,1,1,275950800,137975400,,
101,3006,1,1,284983830,142491915,,
102,3006,1,1,294016860,147008430,,
103,3006,1,1,303049890,151524945,,
104,3006,1,1,312082920,156041460,,
105,3006,1,1,321115950,160557975,,
106,3006,1,1,330148980,165074490,,
107,3006,1,1,339182010,169591005,,
108,3006,1,1,348215040,174107520,,
109,3006,1,1,357248070,178624035,,
110,3006,1,1,366281100,183140550,,
111,3006,1,1,375314130,187657065,,
112,3006,1,1,384347160,192173580,,
113,3006,1,1,393380190,196690095,,
114,3006,1,1,402413220,201206610,,
115,3006,1,1,411446250,205723125,,
116,3006,1,1,420479280,210239640,,
117,3006,1,1,429512310,214756155,344112601.5,172056300.8
118,3006,1,1,438545340,219272670,,
119,3006,1,1,447578370,223789185,,
120,3507,1,1,456611400,228305700,,
121,3507,1,1,468906942,234453471,,
122,3507,1,1,481202484,240601242,,
123,3507,1,1,493498026,246749013,,
124,3507,1,1,505793568,252896784,,
125,3507,1,1,518089110,259044555,,
126,3507,1,1,530384652,265192326,,
127,3507,1,1,542680194,271340097,,
128,3507,1,1,554975736,277487868,,
129,3507,1,1,567271278,283635639,,
130,3507,1,1,579566820,289783410,,
131,3507,1,1,591862362,295931181,,
132,3507,1,1,604157904,302078952,,
133,3507,1,1,616453446,308226723,,
134,3507,1,1,628748988,314374494,,
135,3507,1,1,641044530,320522265,,
136,3507,1,1,653340072,326670036,,
137,3507,1,1,665635614,332817807,549317341.8,274658670.9
138,3507,1,1,677931156,338965578,,
139,3507,1,1,690226698,345113349,,
140,4008,1,1,702522240,351261120,,
141,4008,1,1,718582296,359291148,,
142,4008,1,1,734642352,367321176,,
143,4008,1,1,750702408,375351204,,
144,4008,1,1,766762464,383381232,,
145,4008,1,1,782822520,391411260,,
146,4008,1,1,798882576,399441288,,
147,4008,1,1,814942632,407471316,,
148,4008,1,1,831002688,415501344,,
149,4008,1,1,847062744,423531372,,
150,4008,1,1,863122800,431561400,,
151,4008,1,1,879182856,439591428,,
152,4008,1,1,895242912,447621456,,
153,4008,1,1,911302968,455651484,,
154,4008,1,1,927363024,463681512,,
155,4008,1,1,943423080,471711540,,
156,4008,1,1,959483136,479741568,,
157,4008,1,1,975543192,487771596,823537337.1,411768668.6
158,4008,1,1,991603248,495801624,,
159,4008,1,1,1007663304,503831652,,
160,4509,1,1,1023723360,511861680,,
161,4509,1,1,1044049932,522024966,,
162,4509,1,1,1064376504,532188252,,
163,4509,1,1,1084703076,542351538,,
164,4509,1,1,1105029648,552514824,,
165,4509,1,1,1125356220,562678110,,
166,4509,1,1,1145682792,572841396,,
167,4509,1,1,1166009364,583004682,,
168,4509,1,1,1186335936,593167968,,
169,4509,1,1,1206662508,603331254,,
170,4509,1,1,1226989080,613494540,,
171,4509,1,1,1247315652,623657826,,
172,4509,1,1,1267642224,633821112,,
173,4509,1,1,1287968796,643984398,,
174,4509,1,1,1308295368,654147684,,
175,4509,1,1,1328621940,664310970,,
176,4509,1,1,1348948512,674474256,,
177,4509,1,1,1369275084,684637542,1176812627,588406313.7
178,4509,1,1,1389601656,694800828,,
179,4509,1,1,1409928228,704964114,,
180,5010,1,1,1430254800,715127400,,
181,5010,1,1,1455349890,727674945,,
182,5010,1,1,1480444980,740222490,,
183,5010,1,1,1505540070,752770035,,
184,5010,1,1,1530635160,765317580,,
185,5010,1,1,1555730250,777865125,,
186,5010,1,1,1580825340,790412670,,
187,5010,1,1,1605920430,802960215,,
188,5010,1,1,1631015520,815507760,,
189,5010,1,1,1656110610,828055305,,
190,5010,1,1,1681205700,840602850,,
191,5010,1,1,1706300790,853150395,,
192,5010,1,1,1731395880,865697940,,
193,5010,1,1,1756490970,878245485,,
194,5010,1,1,1781586060,890793030,,
195,5010,1,1,1806681150,903340575,,
196,5010,1,1,1831776240,915888120,,
197,5010,1,1,1856871330,928435665,1619183253,809591626.4
198,5010,1,1,1881966420,940983210,,
199,5010,1,1,1907061510,953530755,,
200,5511,1,1,0,0,,
201,5511,1,1,250500,125250,,
202,5511,1,1,501000,250500,,
203,5511,1,1,751500,375750,,
204,5511,1,1,1002000,501000,,
205,5511,1,1,1252500,626250,,
206,5511,1,1,1503000,751500,,
207,5511,1,1,1753500,876750,,
208,5511,1,1,2004000,1002000,,
209,5511,1,1,2254500,1127250,,
210,5511,1,1,2505000,1252500,,
211,5511,1,1,2755500,1377750,,
212,5511,1,1,3006000,1503000,,
213,5511,1,1,3256500,1628250,,
214,5511,1,1,3507000,1753500,,
215,5511,1,1,3757500,1878750,,
216,5511,1,1,4008000,2004000,,
217,5511,1,1,4258500,2129250,191367721.5,95683860.75
218,5511,1,1,4509000,2254500,,
219,5511,1,1,4759500,2379750,,
TEST: 14,,,,,,,
TestNumber, InputArrayLength, Algo1Distance, Algo2Distance, Algo1NumOps, Algo2NumOps,,
0,501,1,1,0,0,,
1,501,1,1,250500,125250,,
2,501,1,1,501000,250500,,
3,501,1,1,751500,375750,,
4,501,1,1,1002000,501000,,
5,501,1,1,1252500,626250,,
6,501,1,1,1503000,751500,,
7,501,1,1,1753500,876750,,
8,501,1,1,2004000,1002000,,
9,501,1,1,2254500,1127250,,
10,501,1,1,2505000,1252500,,
11,501,1,1,2755500,1377750,,
12,501,1,1,3006000,1503000,,
13,501,1,1,3256500,1628250,,
14,501,1,1,3507000,1753500,,
15,501,1,1,3757500,1878750,2184916.667,1092458.333
16,501,1,1,4008000,2004000,,
17,501,1,1,4258500,2129250,,
18,501,1,1,4509000,2254500,,
19,501,1,1,4759500,2379750,,
20,1002,1,1,5010000,2505000,,
21,1002,1,1,6013002,3006501,,
22,1002,1,1,7016004,3508002,,
23,1002,1,1,8019006,4009503,,
24,1002,1,1,9022008,4511004,,
25,1002,1,1,10025010,5012505,,
26,1002,1,1,11028012,5514006,,
27,1002,1,1,12031014,6015507,,
28,1002,1,1,13034016,6517008,,
29,1002,1,1,14037018,7018509,,
30,1002,1,1,15040020,7520010,,
31,1002,1,1,16043022,8021511,,
32,1002,1,1,17046024,8523012,,
33,1002,1,1,18049026,9024513,,
34,1002,1,1,19052028,9526014,,
35,1002,1,1,20055030,10027515,10902762,5451381
36,1002,1,1,21058032,10529016,,
37,1002,1,1,22061034,11030517,,
38,1002,1,1,23064036,11532018,,
39,1002,1,1,24067038,12033519,,
40,1503,1,1,25070040,12535020,,
41,1503,1,1,27327546,13663773,,
42,1503,1,1,29585052,14792526,,
43,1503,1,1,31842558,15921279,,
44,1503,1,1,34100064,17050032,,
45,1503,1,1,36357570,18178785,,
46,1503,1,1,38615076,19307538,,
47,1503,1,1,40872582,20436291,,
48,1503,1,1,43130088,21565044,,
49,1503,1,1,45387594,22693797,,
50,1503,1,1,47645100,23822550,,
51,1503,1,1,49902606,24951303,,
52,1503,1,1,52160112,26080056,,
53,1503,1,1,54417618,27208809,,
54,1503,1,1,56675124,28337562,,
55,1503,1,1,58932630,29466315,38113575,19056787.5
56,1503,1,1,61190136,30595068,,
57,1503,1,1,63447642,31723821,,
58,1503,1,1,65705148,32852574,,
59,1503,1,1,67962654,33981327,,
60,2004,1,1,70220160,35110080,,
61,2004,1,1,74234172,37117086,,
62,2004,1,1,78248184,39124092,,
63,2004,1,1,82262196,41131098,,
64,2004,1,1,86276208,43138104,,
65,2004,1,1,90290220,45145110,,
66,2004,1,1,94304232,47152116,,
67,2004,1,1,98318244,49159122,,
68,2004,1,1,102332256,51166128,,
69,2004,1,1,106346268,53173134,,
70,2004,1,1,110360280,55180140,,
71,2004,1,1,114374292,57187146,,
72,2004,1,1,118388304,59194152,,
73,2004,1,1,122402316,61201158,,
74,2004,1,1,126416328,63208164,,
75,2004,1,1,130430340,65215170,93175479,46587739.5
76,2004,1,1,134444352,67222176,,
77,2004,1,1,138458364,69229182,,
78,2004,1,1,142472376,71236188,,
79,2004,1,1,146486388,73243194,,
80,2505,1,1,150500400,75250200,,
81,2505,1,1,156772920,78386460,,
82,2505,1,1,163045440,81522720,,
83,2505,1,1,169317960,84658980,,
84,2505,1,1,175590480,87795240,,
85,2505,1,1,181863000,90931500,,
86,2505,1,1,188135520,94067760,,
87,2505,1,1,194408040,97204020,,
88,2505,1,1,200680560,100340280,,
89,2505,1,1,206953080,103476540,,
90,2505,1,1,213225600,106612800,,
91,2505,1,1,219498120,109749060,,
92,2505,1,1,225770640,112885320,,
93,2505,1,1,232043160,116021580,,
94,2505,1,1,238315680,119157840,,
95,2505,1,1,244588200,122294100,186128514,93064257
96,2505,1,1,250860720,125430360,,
97,2505,1,1,257133240,128566620,,
98,2505,1,1,263405760,131702880,,
99,2505,1,1,269678280,134839140,,
100,3006,1,1,275950800,137975400,,
101,3006,1,1,284983830,142491915,,
102,3006,1,1,294016860,147008430,,
103,3006,1,1,303049890,151524945,,
104,3006,1,1,312082920,156041460,,
105,3006,1,1,321115950,160557975,,
106,3006,1,1,330148980,165074490,,
107,3006,1,1,339182010,169591005,,
108,3006,1,1,348215040,174107520,,
109,3006,1,1,357248070,178624035,,
110,3006,1,1,366281100,183140550,,
111,3006,1,1,375314130,187657065,,
112,3006,1,1,384347160,192173580,,
113,3006,1,1,393380190,196690095,,
114,3006,1,1,402413220,201206610,,
115,3006,1,1,411446250,205723125,327012720,163506360
116,3006,1,1,420479280,210239640,,
117,3006,1,1,429512310,214756155,,
118,3006,1,1,438545340,219272670,,
119,3006,1,1,447578370,223789185,,
120,3507,1,1,456611400,228305700,,
121,3507,1,1,468906942,234453471,,
122,3507,1,1,481202484,240601242,,
123,3507,1,1,493498026,246749013,,
124,3507,1,1,505793568,252896784,,
125,3507,1,1,518089110,259044555,,
126,3507,1,1,530384652,265192326,,
127,3507,1,1,542680194,271340097,,
128,3507,1,1,554975736,277487868,,
129,3507,1,1,567271278,283635639,,
130,3507,1,1,579566820,289783410,,
131,3507,1,1,591862362,295931181,,
132,3507,1,1,604157904,302078952,,
133,3507,1,1,616453446,308226723,,
134,3507,1,1,628748988,314374494,,
135,3507,1,1,641044530,320522265,525868137,262934068.5
136,3507,1,1,653340072,326670036,,
137,3507,1,1,665635614,332817807,,
138,3507,1,1,677931156,338965578,,
139,3507,1,1,690226698,345113349,,
140,4008,1,1,702522240,351261120,,
141,4008,1,1,718582296,359291148,,
142,4008,1,1,734642352,367321176,,
143,4008,1,1,750702408,375351204,,
144,4008,1,1,766762464,383381232,,
145,4008,1,1,782822520,391411260,,
146,4008,1,1,798882576,399441288,,
147,4008,1,1,814942632,407471316,,
148,4008,1,1,831002688,415501344,,
149,4008,1,1,847062744,423531372,,
150,4008,1,1,863122800,431561400,,
